<b>Absurd</b> - (ridiculous, senseless, foolish)
<b>Addictive</b> - (obsessive, consuming, captivating)
<b>Adorable</b> - (lovable, charming, delightful)
<b>Aged</b> - (old, ancient, mature)
<b>American</b> - (U.S. Citizen, Yankee, Apple Pie)
<b>Ancient</b> - (elderly, old, antique)
<b>Animated</b> - (lively, exuberant, spirited)
<b>Annoying</b> - (irritating, bothersome, teasing)
<b>Appetizing</b> - (appealing, tasty, flavorful)
<b>Arrogant</b> - (egotistical, overconfident, conceited)
<b>Awesome</b> - (amazing, remarkable, majestic)
<b>Awkward</b> - (clumsy, bumbling, uncoordinated)
<b>Believable</b> - (trustworthy, credible, convincing)
<b>Bogus</b> - (fraudulent, phony, insincere)
<b>Boisterous</b> - (loud, rambunctious, rowdy)
<b>Bold</b> - (daring, brave, courageous)
<b>Boring</b> - (dull, tedious, monotonous)
<b>Bright</b> - (brilliant, radiant, shiny)
<b>Brilliant</b> - (dazzling, gleaming, intelligent)
<b>Busy</b> - (occupied, meddlesome, engrossed)
<b>Calm</b> - (peaceful, tranquil, placid)
<b>Casual</b> - (easygoing, blase, nonchalant)
<b>Charismatic</b> - (alluring, magnetic, charming)
<b>Charming</b> - (captivating, enchanting, fascinating)
<b>Cheesy</b> - (trashy, tawdry, far-fetched)
<b>Chewy</b> - (gummy, rubbery, stringy)
<b>Chunky</b> - (lumpy, chubby, bumpy)
<b>Classic</b> - (timeless, definitive, vintage)
<b>Clean</b> - (washed, pure, tidy)
<b>Clueless</b> - (unaware, oblivious, ignorant)
<b>Cold</b> - (chilly, icy, aloof)
<b>Colorful</b> - (vivid, brilliant, kaleidoscopic)
<b>Comfortable</b> - (cozy, snug, restful)
<b>Comical</b> - (funny, hilarious, amusing)
<b>Complicated</b> - (difficult, complex, involved)
<b>Confused</b> - (muddled, bewildered, perplexed)
<b>Cool</b> - (chilly, hip, cold-blooded)
<b>Corrupt</b> - (dishonest, underhanded, shady)
<b>Cosmic</b> - (limitless, planetary, far out)
<b>Cosmopolitan</b> - (sophisticated, urbane, well-informed)
<b>Courageous</b> - (brave, gallant, dauntless)
<b>Cowardly</b> - (fearful, afraid, spineless)
<b>Cranky</b> - (crabby, cantankerous, grouchy)
<b>Crazed</b> - (insane, wild, deranged)
<b>Crazy</b> - (insane, bizarre, wacky)
<b>Creative</b> - (imaginative, artistic, original)
<b>Creepy</b> - (frightening, slithering, scary)
<b>Cruel</b> - (mean, harsh, merciless)
<b>Cuddly</b> - (loving, tender, huggable)
<b>Cute</b> - (pretty, perky, delightful)
<b>Dainty</b> - (delicate, fragile, thin)
<b>Dangerous</b> - (risky, chancy, hazardous)
<b>Dead</b> - (deceased, expired, unresponsive)
<b>Deadly</b> - (fatal, lethal, murderous)
<b>Delicate</b> - (dainty, tender, elegant)
<b>Delicious</b> - (tasty, pleasing, appetizing)
<b>Delightful</b> - (pleasing, enjoyable, charming)
<b>Demanding</b> - (difficult, exacting, bothersome)
<b>Depressing</b> - (dismal, gloomy, sad)
<b>Desperate</b> - (frantic, headlong, reckless)
<b>Dignified</b> - (stately, honorable, distinguished)
<b>Dirty</b> - (unclean, soiled, impure)
<b>Distinguished</b> - (dignified, extraordinary, acclaimed)
<b>Disturbing</b> - (unsettling, troubling, worrisome)
<b>Dramatic</b> - (exciting, sensational, theatrical)
<b>Dreamy</b> - (fanciful, whimsical, heavenly)
<b>Dull</b> - (boring, stupid, blunt)
<b>Dysfunctional</b> - (impaired, damaged, maladjusted)
<b>Earthy</b> - (unrefined, natural, crude)
<b>Easy</b> - (effortless, gentle, promiscuous)
<b>Eccentric</b> - (peculiar, odd, bizarre)
<b>Elitist</b> - (snobbish, arrogant, smug)
<b>Emotional</b> - (passionate, moving, volatile)
<b>Eternal</b> - (timeless, immortal, perpetual)
<b>European</b> - (of Europe, from Europe, about Europe)
<b>Exciting</b> - (thrilling, breathtaking, arousing)
<b>Exhausting</b> - (weakening, tiring, draining)
<b>Expensive</b> - (costly, valuable, exorbitant)
<b>Explosive</b> - (bursting, blasting, dangerous)
<b>Exquisite</b> - (excellent, refined, flawless)
<b>Extreme</b> - (exceptional, superlative, radical)
<b>Fabulous</b> - (marvelous, wonderful, incredible)
<b>Fake</b> - (unreal, counterfeit, deceptive)
<b>Fancy</b> - (showy, ornate, decorated)
<b>Fantastic</b> - (awesome, outrageous, imaginary)
<b>Feminine</b> - (womanly, ladylike, unmanly)
<b>Filthy</b> - (dirty, foul, unclean)
<b>Flirtatious</b> - (brazen, saucy, forward)
<b>Foreign</b> - (alien, unfamiliar, exotic)
<b>Fragrant</b> - (aromatic, odorous, perfumed)
<b>Frazzled</b> - (exhausted, frayed, worn)
<b>Fresh</b> - (new, original, good)
<b>Friendly</b> - (affectionate, comforting, welcoming)
<b>Frightening</b> - (scary, horrifying, awesome)
<b>Frivolous</b> - (trivial, silly, shallow)
<b>Funky</b> - (groovy, psychedelic, hip)
<b>Funny</b> - (amusing, comic, odd)
<b>Furious</b> - (angry, raging, wild)
<b>Fuzzy</b> - (downy, unclear, furry)
<b>Glamorous</b> - (beautiful, dazzling, stylish)
<b>Glitzy</b> - (flashy, showy, gaudy)
<b>Global</b> - (world-wide, spherical, universal)
<b>Glorious</b> - (magnificent, delightful, splendid)
<b>Goody-Goody</b> - (sweet, well-behaved, virtuous)
<b>Graceful</b> - (elegant, supple, limber)
<b>Handsome</b> - (attractive, elegant, fine)
<b>Hardworking</b> - (industrious, diligent, busy)
<b>Harmful</b> - (hurtful, unhealthy, damaging)
<b>Haunting</b> - (unforgettable, bewitching, unearthly)
<b>Healthy</b> - (hearty, robust, wholesome)
<b>Heartless</b> - (insensitive, cruel, uncaring)
<b>Hilarious</b> - (funny, witty, amusing)
<b>Honorable</b> - (honest, just, virtuous)
<b>Hopeless</b> - (pessimistic, desperate, downhearted)
<b>Horrifying</b> - (offensive, abominable, disgusting)
<b>Hostile</b> - (antagonistic, aggressive, warlike)
<b>Hot</b> - (blazing, heated, spicy)
<b>Idiotic</b> - (foolish, dumb, moronic)
<b>Important</b> - (significant, substantial, momentous)
<b>Industrious</b> - (diligent, busy, hard-working)
<b>Influential</b> - (powerful, prominent, important)
<b>Innocent</b> - (guiltless, pure, naive)
<b>Insane</b> - (psychotic, deranged, mad)
<b>Inspirational</b> - (exhilarating, inspiring, stimulating)
<b>Insulting</b> - (offending, discourteous, rude)
<b>Intelligent</b> - (bright, smart, brainy)
<b>Intense</b> - (extreme, passionate, strained)
<b>Irresistible</b> - (overpowering, overwhelming, compelling)
<b>Irritating</b> - (annoying, troublesome, provoking)
<b>Juicy</b> - (drippy, luscious, tantalizing)
<b>Lazy</b> - (lifeless, apathetic, weary)
<b>Legendary</b> - (famous, distinctive, prominent)
<b>Loud</b> - (noisy, boisterous, deafening)
<b>Lovable</b> - (adorable, endearing, cuddly)
<b>Lucky</b> - (fortunate, serendipitous, favored)
<b>Luscious</b> - (delicious, savory, juicy)
<b>Luxurious</b> - (opulent, lavish, sumptuous)
<b>Magical</b> - (enchanting, miraculous, marvelous)
<b>Manly</b> - (masculine, virile, strong)
